"notation","title","description","id","title_en","description_en","title_fr","description_fr","title_it","description_it","title_rm","description_rm"
"1","Transkript 2 für das Haupt-Audio",,"transcript",,,,,,,,
"1.1","Transkript 2 der Originalquelle",,"original",,,,,,,,
"1.2","Transkript 2 der angepassten Version für die Aufgabe",,"adapted",,,,,,,,
"2","Didaktische Handreichungen 2",,"didactical_guide",,,,,,,,
"2.1","Richtige Antworten 2",,"answering_full_credit",,,,,,,,
"2.2","Diskussion des Schwierigkeitsniveaus 2",,"competence_level",,,,,,,,
"2.3","Typische Falschantworten 2",,"misconceptions",,,,,,,,
"2.4","Mögliche Probleme bei der Beantwortung 2",,"problems",,,,,,,,
"2.5","Sonstiges",,"sonstiges",,,,,,,,
"2.6","Bedarf",,"bedarf",,,,,,,,
